1:8-39-A025-A025-[S501,B5142][E3579,E3579]
2:6-42-A025-A025-[S505,B4026][E3589,E3589]
3:4-29-A065-A056-[S509,B2076][E3602,E3602]
4:2-28-A065-A065-[S509,B3894][E3603,E3603]
5:46-56-A056-A033-[S511,B6812][E3607,E3607]
6:2-34-A028-A028-[S537,B5262][E3835,E3835]
7:6-36-A028-A028-[S537,B5085][E3834,E3834]
8:10-56-A033-A033-[S539,S539,B8695,B0136][E3841,E3838,E3841,E3838]
9:6-47-A033-A033-[S539,S539,B0136,B8695][E3842,E3839,E3839,E3842]
10:2-36-A033-A033-[S539,B8695][E3843,E3843]
11:2-36-A033-A033-[S539,B8695][E3844,E3844]
12:2-36-A033-A033-[S539,B8695][E3845,E3845]
13:2-36-A033-A033-[S539,B0136][E3840,E3840]
14:2-36-A033-A033-[S539,B8695][E3846,E3846]
15:2-11-A033-A033-[S544,B0608][E3856,E3856]
16:4-40-A033-A033-[S544,S544,B0336,B2689][E3854,E3853,E3854,E3853]
17:2-21-A033-A033-[S544,B0336][E3855,E3855]
18:2-11-A033-A033-[S544,B0608][E3857,E3857]
19:2-17-A033-A033-[S548,B0632][E3868,E3868]
20:2-16-A033-A033-[S548,B7900][E3869,E3869]
21:2-16-A033-A033-[S548,B7900][E3870,E3870]
22:2-17-A033-A033-[S549,B0632][E3871,E3871]
23:4-18-A033-A033-[S549,B0632][E3872,E3872]
24:2-16-A033-A033-[S550,B7900][E3873,E3873]
25:4-31-A033-A033-[S551,B0390][E3877,E3877]
26:8-30-A033-A033-[S551,B6235][E3878,E3878]
27:4-23-A033-A033-[S551,B2080][E3875,E3875]
28:12-21-A033-A033-[S551,B0632][E3879,E3879]
29:2-16-A033-A033-[S551,B7900][E3881,E3881]
30:4-18-A033-A033-[S551,B0632][E3880,E3880]
31:6-18-A033-A033-[S551,B7900][E3882,E3882]
32:4-38-A033-A033-[S553,S553,B6456,B0608][E3888,E3887,E3888,E3887]
33:2-27-A033-A033-[S553,B8585][E3889,E3889]
34:2-21-A033-A033-[S554,B0099][E3890,E3890]
35:2-22-A033-A033-[S555,B5962][E3893,E3893]
36:2-18-A033-A033-[S555,B7900][E3897,E3897]
37:2-18-A033-A033-[S555,B5242][E3892,E3892]
38:2-18-A033-A033-[S555,B0632][E3894,E3894]
39:2-21-A033-A033-[S555,B0336][E3891,E3891]
40:2-18-A033-A033-[S556,B7900][E3899,E3899]
41:2-18-A033-A033-[S556,B7900][E3900,E3900]
42:8-55-A033-A072-[S557,S557,S557,B7489,B1804,B1865][E3902,E3922,E3904,E3922,E3902,E3904]
43:8-43-A033-A033-[S557,S557,B2689,B2080][E3907,E3905,E3907,E3905]
44:14-76-A033-A033-[S557,S557,S557,S557,B2689,B1804,B6235,B5962][E3919,E3903,E3908,E3917,E3908,E3903,E3919,E3917]
45:8-35-A033-A033-[S557,S557,B5242,B5242][E3912,E3913,E3912,E3913]
46:4-36-A033-A072-[S557,B1658][E3901,E3901]
47:4-23-A033-A033-[S557,B5524][E3916,E3916]
48:2-22-A033-A033-[S557,B5962][E3918,E3918]
49:6-39-A033-A072-[S557,S557,B7900,B6778][E3923,E3921,E3923,E3921]
50:6-48-A033-A072-[S557,S557,B4834,B2664][E3911,E3906,E3911,E3906]
51:2-24-A033-A033-[S558,B6726][E3927,E3927]
52:6-24-A033-A033-[S558,B5242][E3925,E3925]
53:2-24-A033-A033-[S558,B5976][E3926,E3926]
54:4-20-A033-A033-[S558,B7900][E3929,E3929]
55:4-28-A033-A033-[S558,B4214][E3924,E3924]
56:4-20-A033-A033-[S558,B7900][E3930,E3930]
57:12-43-A033-A033-[S558,S558,B7900,B7070][E3931,E3928,E3931,E3928]
58:2-18-A033-A033-[S559,B0632][E3932,E3932]
59:6-46-A089-A089-[S560,S560,B5599,B0086][E3935,E3937,E3935,E3937]
60:2-29-A089-A089-[S560,B5599][E3936,E3936]
61:8-32-A089-A089-[S561,B5599][E3939,E3939]
62:8-30-A089-A089-[S563,B2310][E3941,E3941]
63:6-29-A089-A089-[S563,B2310][E3942,E3942]
64:2-32-A089-A089-[S564,B3006][E3944,E3944]
65:6-37-A089-A089-[S565,B6389][E3946,E3946]
66:4-38-A089-A007-[S566,B0840][E3949,E3949]
67:16-41-A089-A007-[S566,B0624][E3948,E3948]
68:2-29-A034-A034-[S567,B2350][E3952,E3952]
69:6-42-A034-A034-[S567,S567,B2048,B6755][E3956,E3951,E3951,E3956]
70:2-28-A034-A034-[S567,B1299][E3950,E3950]
71:2-29-A034-A034-[S567,B2350][E3953,E3953]
72:2-29-A034-A034-[S567,B2350][E3954,E3954]
73:4-41-A034-A007-[S568,B1008][E3957,E3957]
74:4-39-A034-A007-[S569,B3516][E3958,E3958]
75:2-28-A034-A034-[S570,B6755][E3966,E3966]
76:2-30-A034-A034-[S570,B2350][E3960,E3960]
77:4-31-A034-A034-[S570,B2350][E3961,E3961]
78:2-29-A034-A034-[S570,B2048][E3959,E3959]
79:2-30-A034-A034-[S570,B2350][E3962,E3962]
80:6-32-A072-A056-[S571,B1180][E3967,E3967]
81:26-42-A072-A033-[S572,B0632][E3977,E3977]
82:2-33-A072-A033-[S572,B7900][E3979,E3979]
83:2-41-A072-A033-[S572,B6235][E3976,E3976]
84:2-35-A072-A033-[S572,B5242][E3971,E3971]
85:24-51-A072-A033-[S572,S572,B0632,B5242][E3978,E3972,E3978,E3972]
86:16-71-A072-A033-[S572,S572,S572,B8570,B5962,B5242][E3980,E3973,E3975,E3980,E3975,E3973]
87:16-93-A072-A072-[S573,S573,S573,S573,S573,B1865,B5744,B7596,B4998,B8165][E4000,E4006,E3983,E4015,E3996,E3983,E4000,E4006,E3996,E4015]
88:16-85-A072-A033-[S573,S573,S573,S573,B2903,B5744,B3979,B7900][E4010,E3989,E3995,E4001,E3989,E4001,E3995,E4010]
89:14-87-A072-A072-[S573,S573,S573,S573,B0390,B7479,B4998,B2664][E4005,E3994,E3988,E3997,E3994,E4005,E3997,E3988]
90:14-53-A072-A072-[S573,S573,S573,B5241,B7596,B7596][E4007,E3998,E4008,E3998,E4007,E4008]
91:2-16-A072-A072-[S573,B5241][E3999,E3999]
92:2-25-A072-A072-[S573,B7596][E4009,E4009]
93:6-27-A072-A033-[S573,B3844][E3993,E3993]
94:8-36-A072-A033-[S573,S573,B1865,B7900][E4013,E3984,E3984,E4013]
95:10-39-A072-A072-[S573,S573,B2269,B3765][E3992,E3985,E3985,E3992]
96:4-63-A072-A082-[S573,B3729][E3991,E3991]
97:12-60-A072-A072-[S574,S574,S574,B7596,B6778,B1865][E4048,E4049,E4021,E4049,E4048,E4021]
98:24-66-A072-A072-[S574,S574,S574,S574,B5241,B1865,B3765,B5744][E4022,E4041,E4034,E4037,E4037,E4022,E4034,E4041]
99:8-27-A072-A072-[S574,B1865][E4023,E4023]
100:12-49-A072-A072-[S574,S574,S574,B0373,B2951,B2951][E4030,E4033,E4031,E4033,E4030,E4031]
101:18-63-A072-A072-[S574,S574,S574,B5241,B1865,B5839][E4043,E4038,E4024,E4038,E4024,E4043]
102:4-17-A072-A072-[S574,B5241][E4039,E4039]
103:4-21-A072-A072-[S574,B9018][E4051,E4051]
104:4-20-A072-A072-[S574,B5946][E4044,E4044]
105:4-19-A072-A072-[S574,B3765][E4035,E4035]
106:6-27-A072-A033-[S574,B6726][E4047,E4047]
107:10-29-A072-A033-[S574,B0336][E4032,E4032]
108:12-51-A072-A072-[S574,S574,B0581,B1865][E4025,E4042,E4042,E4025]
109:8-59-A072-A072-[S574,S574,B6372,B1865][E4045,E4026,E4045,E4026]
110:4-26-A072-A072-[S574,B1804][E4020,E4020]
111:2-16-A072-A072-[S575,B5241][E4053,E4053]
112:4-19-A072-A072-[S576,B4128][E4058,E4058]
113:4-20-A072-A072-[S576,B8165][E4062,E4062]
114:4-25-A072-A072-[S577,B1865][E4064,E4064]
