1:2-14-A114-A114-[S120,B6310][E1510,E1510]
2:2-30-A037-A037-[S331,B1553][E2572,E2572]
3:2-17-A114-A114-[S147,B6795][E1618,E1618]
4:6-31-A021-A021-[S167,B0499][E1710,E1710]
5:2-30-A037-A037-[S210,B5736][E1913,E1913]
6:4-30-A037-A037-[S275,B1897][E2347,E2347]
7:2-30-A037-A037-[S275,B9159][E2350,E2350]
8:4-27-A037-A037-[S283,B9159][E2380,E2380]
9:6-22-A039-A039-[S114,B5282][E1502,E1502]
10:4-49-A037-A037-[S331,S331,B0869,B1553][E2581,E2573,E2581,E2573]
11:8-58-A037-A037-[S143,S143,B1858,B5905][E1602,E1606,E1602,E1606]
12:4-31-A037-A037-[S331,B1553][E2571,E2571]
13:4-26-A037-A037-[S283,B5634][E2379,E2379]
14:10-54-A037-A037-[S283,S283,B3343,B1897][E2378,E2377,E2378,E2377]
15:24-71-A037-A037-[S146,S143,S143,B2277,B5905,B8844][E1617,E1604,E1611,E1604,E1617,E1611]
16:8-63-A037-A021-[S143,S143,B5905,B2277][E1608,E1603,E1608,E1603]
17:2-33-A037-A037-[S210,B0225][E1910,E1910]
18:2-41-A058-A058-[S216,B0850][E1970,E1970]
19:4-51-A023-A086-[S363,B6119][E2800,E2800]
20:8-69-A021-A037-[S139,S143,B2277,B8844][E1583,E1610,E1583,E1610]
21:6-38-A037-A037-[S299,B3343][E2447,E2447]
22:8-31-A037-A037-[S291,B9159][E2410,E2410]
23:6-37-A037-A021-[S143,B6472][E1609,E1609]
24:2-32-A037-A037-[S146,B5905][E1616,E1616]
25:48-139-A037-A023-[S331,S348,S348,S360,S348,B2032,B2194,B2194,B2032,B0439][E2574,E2747,E2746,E2786,E2748,E2574,E2747,E2748,E2746,E2786]
26:26-101-A037-A021-[S299,S140,S143,B0813,B0813,B4943][E2448,E1586,E1605,E2448,E1586,E1605]
27:10-52-A023-A023-[S363,S363,B5190,B3582][E2799,E2798,E2799,E2798]
28:4-33-A037-A037-[S331,B2032][E2575,E2575]
29:2-37-A023-A023-[S348,B0330][E2749,E2749]
30:10-103-A037-A037-[S143,S210,S210,B5905,B5370,B2708][E1607,E1912,E1911,E1607,E1912,E1911]
31:8-54-A021-A037-[S139,S139,B2277,B4527][E1582,E1584,E1582,E1584]
32:2-27-A037-A037-[S291,B1897][E2409,E2409]
