1:140-76-[B7589,B1921]
2:131-77-[B3580,B8306]
3:131-71-[B6102,B2457]
4:136-72-[B6319,B7930]
5:137-69-[B8919,B4055]
6:97-37-[B1179]
7:99-39-[B2491]
8:132-76-[B1592,B3003]
9:86-37-[B2404]
10:91-36-[B8452]
11:88-47-[B1784,B3893]
12:90-35-[B3222]
13:132-72-[B2306,B7805]
14:120-66-[B0147,B4874]
15:82-54-[B0432,B8862]
16:126-65-[B6483,B5113]
17:120-80-[B7964,B6524,B5527]
18:109-77-[B8984,B0899,B1899]
19:137-67-[B8383,B8407]
20:127-62-[B7812,B5980]
21:72-38-[B5674]
22:135-72-[B8048,B8077]
23:136-69-[B0292,B4229]
