1:124-67-[B6877,B6612]
2:119-70-[B8562,B4477]
3:124-69-[B3369,B7729]
4:113-70-[B9080,B7600]
5:111-65-[B3468,B1017]
6:137-77-[B7554,B7707]
7:127-70-[B2652,B6067]
8:136-109-[B5860,B0531,B2999,B4835]
9:120-84-[B0723,B6532,B6880]
10:134-91-[B6275,B5820,B2195]
11:124-66-[B2828,B8440]
12:128-76-[B5825,B6932]
13:128-74-[B9213,B8373]
14:72-32-[B5004]
15:126-71-[B1006,B2955]
16:117-71-[B1848,B5204]
17:110-67-[B4783,B5529]
18:133-66-[B9057,B2004]
19:138-70-[B5984,B2015]
20:133-64-[B2320,B3667]
21:121-68-[B1362,B7714]
22:136-90-[B0420,B5926,B7811]
23:82-36-[B7436]
24:125-70-[B4037,B0866]
25:85-37-[B3474]
26:83-38-[B0202]
27:84-34-[B7770]
28:136-114-[B3215,B8902,B2336,B4714]
29:127-63-[B4782,B1348]
30:80-36-[B1550]
31:127-61-[B6709,B4084]
32:137-68-[B5038,B7626]
33:132-64-[B9186,B0574]
