1:138-70-[B6009,B0805]
2:127-67-[B4984,B7867]
3:140-71-[B7464,B5614]
4:140-75-[B8448,B6179]
5:135-70-[B4879,B1577]
6:123-69-[B9179,B5560]
7:138-75-[B5252,B1621]
8:138-68-[B3719,B8320]
9:92-40-[B8333]
10:140-71-[B5401,B5996]
11:131-74-[B4234,B1004]
12:126-63-[B3351,B0825]
13:87-35-[B1400]
14:98-45-[B8647]
15:116-66-[B2468,B3355]
16:136-67-[B6588,B9149]
17:96-38-[B3689]
18:90-39-[B4201]
19:125-63-[B2029,B7219]
20:98-43-[B4148]
21:97-41-[B0258]
22:134-71-[B4852,B7368]
23:136-70-[B0436,B8896]
24:131-65-[B4926,B8431]
25:110-66-[B3100,B2594]
26:64-31-[B9184]
27:78-37-[B8686]
28:136-74-[B1968,B0179]
29:103-53-[B6368,B8438]
30:85-37-[B2525]
31:119-63-[B1230,B7686]
