1:120-79-[B0664,B7452]
2:125-65-[B2976,B1249]
3:127-80-[B5438,B0409]
4:128-74-[B2721,B8321]
5:121-67-[B4586,B0111]
6:120-68-[B2379,B6531]
7:139-79-[B3584,B0539]
8:136-72-[B8344,B8361]
9:140-93-[B0593,B3014,B6828]
10:127-70-[B8788,B6741]
11:106-65-[B1051,B7931]
12:116-67-[B9175,B5813]
13:88-53-[B4447]
14:82-34-[B7889]
15:138-93-[B0573,B3133,B6237]
16:110-68-[B2052,B0282]
17:137-93-[B8068,B2010,B3626]
18:140-82-[B3147,B7284,B7621]
19:119-70-[B2147,B6397]
20:114-69-[B8672,B3824]
21:110-63-[B2054,B4582]
22:133-63-[B3566,B0553]
23:124-66-[B6051,B3841]
24:126-72-[B6306,B8863]
25:80-44-[B0169]
26:123-77-[B6891,B7180]
27:135-93-[B8812,B6753,B1089]
28:104-68-[B4795,B6121]
29:124-77-[B1929,B3110]
30:108-67-[B7249,B5177]
