1:112-63-[B1335,B6436]
2:121-80-[B9033,B0296]
3:131-75-[B3462,B0024]
4:135-100-[B6264,B4296,B9008]
5:110-76-[B1372,B7268]
6:116-97-[B5857,B9113,B7408]
7:137-101-[B8409,B2008,B3578]
8:135-79-[B6633,B5151]
9:108-68-[B3843,B0605]
10:135-80-[B2310,B7922]
11:138-81-[B7809,B0086]
12:137-70-[B0601,B3542]
13:113-64-[B1158,B7020]
14:119-76-[B0932,B4593]
15:136-84-[B2103,B8293]
16:139-75-[B0504,B6573]
17:118-76-[B1954,B7183]
18:115-71-[B7340,B2161]
19:133-75-[B3287,B3074]
20:131-100-[B2729,B5708,B8174]
21:97-45-[B1701]
22:128-78-[B5126,B5599]
23:126-68-[B4269,B2097]
24:118-73-[B4067,B7450]
25:136-96-[B8721,B8437,B2543]
26:123-71-[B2441,B6305]
27:139-89-[B6389,B3006]
28:129-68-[B9205,B4575]
29:137-71-[B5013,B4504]
30:140-99-[B1056,B0855,B2264]
31:139-72-[B2505,B3573]
32:110-65-[B7548,B3561]
33:136-97-[B4738,B7486,B1491]
34:134-71-[B0068,B7581]
35:129-63-[B3789,B3227]
36:135-82-[B2919,B8720,B6807]
