1:129-74-[B6864,B4054]
2:124-70-[B2270,B1477]
3:129-76-[B8729,B7488]
4:136-71-[B5625,B7422]
5:133-76-[B3742,B5821]
6:115-69-[B5633,B9025]
7:131-72-[B7501,B0566]
8:136-77-[B4644,B0911]
9:127-68-[B0586,B4531]
10:138-68-[B3401,B0396]
11:108-68-[B3793,B2498]
12:130-76-[B9203,B2304]
13:131-69-[B8583,B6689]
14:98-62-[B4681,B8095]
15:139-68-[B1982,B1902]
16:99-41-[B4111]
17:121-72-[B5173,B7275]
18:136-68-[B2370,B8528]
19:138-81-[B0015,B1656]
20:138-69-[B6861,B1142]
21:97-41-[B8569]
22:98-61-[B6843,B8390]
23:85-37-[B3422]
24:135-85-[B9174,B4811,B0280]
25:135-77-[B8926,B8021]
26:83-34-[B6443]
27:91-65-[B3640,B6582]
28:133-70-[B6188,B3042]
29:60-28-[B6149]
30:96-40-[B2861]
31:124-71-[B9110,B4124]
32:140-70-[B1046,B2997]
33:131-79-[B6792,B8121]
34:133-91-[B1406,B2114,B8836]
