1:122-74-[B8030,B1474]
2:130-70-[B6786,B4050]
3:128-72-[B0370,B8134]
4:136-70-[B6512,B0940]
5:125-65-[B8450,B6926]
6:123-88-[B7776,B2640,B7947]
7:132-70-[B6900,B3741]
8:136-70-[B1413,B3687]
9:140-74-[B3381,B6224]
10:122-80-[B4031,B5041]
11:110-61-[B6591,B0041]
12:139-75-[B7733,B1154]
13:97-45-[B7734]
14:129-78-[B1686,B2417]
15:123-69-[B3750,B3965]
16:81-34-[B3451]
17:137-77-[B1245,B7113]
18:110-68-[B1983,B5364]
19:97-41-[B9063]
20:140-72-[B8069,B7476]
21:131-88-[B3668,B4729,B6714]
22:102-55-[B3245,B0344]
23:128-64-[B8265,B1531]
24:135-86-[B7787,B5648,B5702]
25:139-85-[B3089,B1420,B7677]
26:139-72-[B4373,B3655]
27:132-68-[B8699,B7644]
28:126-63-[B1160,B1549]
