1:138-77-[B5234,B3431]
2:124-80-[B4898,B0017]
3:130-91-[B1842,B3243,B5746]
4:131-93-[B8516,B7866,B1785]
5:140-83-[B1663,B6346]
6:120-69-[B7730,B7491]
7:140-98-[B3501,B7095,B5781]
8:137-99-[B4333,B5679,B7732]
9:131-75-[B1593,B6408]
10:124-72-[B7403,B0190]
11:128-75-[B7054,B2460]
12:133-88-[B9143,B5385,B6332]
13:106-66-[B4544,B6781]
14:140-95-[B5291,B3412,B0896]
15:118-62-[B4941,B2321]
16:128-83-[B8983,B0249]
17:124-68-[B1275,B3432]
18:139-97-[B3395,B8718,B1739]
19:139-79-[B3438,B2782]
20:132-90-[B2328,B7069,B8241]
21:118-61-[B0962,B7718]
22:120-76-[B1316,B6644]
23:132-76-[B6770,B3198]
24:126-70-[B3551,B2023]
25:139-85-[B7023,B6258,B5121]
26:95-40-[B0747]
27:135-87-[B2410,B5635,B8885]
28:128-69-[B5971,B0106]
29:140-69-[B5464,B2155]
30:94-50-[B1228,B8073]
31:126-84-[B6222,B6031,B5292]
32:133-76-[B5999,B4379]
33:132-81-[B4277,B5104]
34:55-29-[B6399]
35:119-61-[B6444,B4616]
