1:115-72-[B3966,B5987]
2:137-87-[B6470,B8806,B0520]
3:123-72-[B5913,B8208]
4:137-124-[B8274,B6447,B5716,B3552]
5:122-97-[B7176,B8125,B1729]
6:139-91-[B2595,B8412,B3137]
7:132-73-[B4392,B4625]
8:137-88-[B0754,B7151,B4669]
9:140-94-[B3538,B1802,B5285]
10:126-98-[B8574,B6655,B2786]
11:107-64-[B6445,B0528]
12:113-63-[B6464,B4369]
13:135-74-[B3486,B3814]
14:124-68-[B3618,B5671]
15:116-71-[B1377,B4040]
16:110-64-[B3115,B3671]
17:135-72-[B2425,B3372]
18:121-67-[B3959,B5908]
19:107-66-[B0323,B6284]
20:109-66-[B2713,B8651]
21:139-111-[B8311,B7456,B0925,B8498]
22:91-56-[B8461,B6481]
23:112-62-[B2753,B2142]
24:125-68-[B1970,B4313]
25:111-69-[B6261,B6765]
26:78-33-[B1151]
27:126-68-[B0642,B4168]
