1:126-76-[B8427,B6074]
2:117-72-[B8681,B3574]
3:132-73-[B3339,B7369]
4:121-65-[B8974,B4753]
5:120-67-[B3537,B5078]
6:127-96-[B0724,B5593,B2037,B7523]
7:133-71-[B4340,B1297]
8:124-68-[B6976,B7214]
9:138-74-[B2754,B5330]
10:137-94-[B0359,B5175,B2444]
11:136-95-[B5096,B2617,B2108]
12:134-72-[B2724,B4181]
13:134-78-[B0647,B3081]
14:129-74-[B5058,B1389]
15:116-64-[B3907,B8615]
16:136-71-[B7890,B3808]
17:94-36-[B3239]
18:114-66-[B8490,B0155]
19:136-80-[B2036,B6528]
20:118-64-[B7984,B0083]
21:89-35-[B3970]
22:129-83-[B6216,B8822]
23:133-70-[B1927,B6331]
24:112-79-[B2672,B9115]
25:127-70-[B0690,B4186]
26:120-82-[B2836,B3888,B2487]
27:132-70-[B6997,B2859]
28:138-72-[B4008,B3627]
29:140-75-[B8835,B0503]
30:136-71-[B8025,B3380]
31:137-93-[B3200,B0823,B4842]
32:137-71-[B7291,B6620]
33:133-67-[B6852,B0677]
34:125-75-[B5475,B7162]
35:139-77-[B0734,B4838]
36:137-97-[B5969,B7566,B0299]
37:135-67-[B1853,B9097]
38:129-109-[B2793,B5195,B8911,B1740]
39:130-80-[B6221,B4364,B3228]
40:67-34-[B4638]
41:140-93-[B8004,B1692,B8031]
42:134-67-[B5848,B8738]
43:129-62-[B7745,B8139]
44:132-62-[B1499,B7237]
