1:127-67-[B2058,B0456]
2:130-81-[B0960,B3708,B5621]
3:131-65-[B8072,B2868]
4:115-68-[B5577,B8968]
5:119-68-[B4356,B5581]
6:135-72-[B2984,B7252]
7:131-77-[B7881,B4343]
8:134-67-[B2873,B0129]
9:140-71-[B3782,B3852]
10:123-69-[B0763,B1157]
11:117-64-[B3701,B3502]
12:102-61-[B5170,B9006]
13:138-94-[B0900,B3800,B6197]
14:99-39-[B1442]
15:135-70-[B2448,B0236]
16:132-74-[B1788,B1015]
17:110-90-[B4574,B1185,B5018]
18:86-37-[B6023]
19:123-78-[B2977,B2670,B6259]
20:136-75-[B0092,B4667]
21:138-69-[B9054,B6825]
22:122-79-[B6673,B7377,B5226]
23:139-85-[B7353,B2276,B6490]
24:139-66-[B7096,B5474]
25:130-70-[B2869,B3160]
26:132-70-[B2637,B8410]
