1:134-85-[B2618,B4083,B6065]
2:126-72-[B7015,B2129]
3:83-55-[B5730,B1745]
4:131-70-[B1922,B6091]
5:107-65-[B8908,B4809]
6:135-71-[B8160,B5399]
7:139-90-[B0863,B5202,B6684]
8:136-70-[B2646,B0867]
9:117-72-[B8102,B2019]
10:132-75-[B1076,B7497]
11:91-38-[B3526]
12:138-89-[B4002,B5026,B5259]
13:99-66-[B6384,B7784]
14:115-61-[B0113,B5729]
15:132-89-[B8790,B7682,B2173]
16:137-68-[B5088,B4800]
17:93-44-[B7572]
18:136-92-[B4251,B4787,B0276]
19:99-43-[B5866]
20:136-91-[B3845,B8625,B2781]
21:133-88-[B8242,B8716,B3896]
22:138-67-[B4913,B7517]
23:76-35-[B5649]
24:138-71-[B2811,B2509]
25:139-68-[B1691,B0675]
26:139-72-[B4244,B5358]
