1:133-84-[B7522,B4246,B1251]
2:134-64-[B8752,B3167]
3:137-69-[B4452,B9083]
4:111-70-[B9157,B8925]
5:122-68-[B8296,B7826]
6:131-67-[B3016,B6805]
7:138-67-[B2477,B3672]
8:109-67-[B7012,B1476]
9:137-71-[B1794,B6675]
10:137-74-[B3205,B2546]
11:128-77-[B9007,B3211]
12:137-77-[B4484,B4390]
13:126-65-[B7467,B5912]
14:127-92-[B7034,B3231,B7235]
15:136-75-[B2740,B3013]
16:132-74-[B3795,B0790]
17:75-31-[B7611]
18:129-79-[B8744,B0663]
19:137-73-[B0369,B2797]
20:134-75-[B9056,B5171]
21:131-71-[B0348,B6967]
22:123-79-[B8998,B0050,B7031]
23:138-68-[B0779,B4808]
24:86-37-[B4046]
25:131-64-[B0430,B4549]
26:111-66-[B1602,B5983]
27:135-67-[B1600,B3365]
