1:119-83-[B6987,B1791,B8097]
2:131-77-[B1979,B5698]
3:137-104-[B7720,B4726,B2512]
4:139-79-[B5592,B3894]
5:131-67-[B6890,B0089]
6:121-72-[B6679,B3470]
7:131-71-[B6780,B2631]
8:114-79-[B5734,B5815]
9:122-77-[B6665,B4078]
10:140-75-[B5265,B2844]
11:108-68-[B0540,B5785]
12:119-66-[B2323,B7144]
13:125-71-[B1735,B8310]
14:113-64-[B2393,B8697]
15:122-66-[B2965,B5095]
16:126-86-[B1996,B6168,B5675]
17:138-104-[B1709,B4997,B2394]
18:95-48-[B0497]
19:128-84-[B1031,B6767]
20:135-74-[B5154,B0930]
21:125-73-[B4571,B7576]
22:132-67-[B6150,B8155]
23:133-78-[B0786,B3703]
24:105-63-[B6407,B0557]
25:94-46-[B6600]
26:140-69-[B6434,B4291]
27:135-95-[B3759,B6995,B5872]
28:137-72-[B8796,B6817]
29:135-66-[B8114,B6084]
30:140-78-[B3414,B3464]
31:95-53-[B4494,B0427]
32:89-37-[B5968]
33:124-79-[B7598,B0189]
34:137-98-[B0979,B5807,B1647]
35:129-72-[B3289,B5489]
36:137-85-[B7760,B7391,B0324]
37:99-43-[B3273]
38:137-71-[B3385,B7932]
39:140-69-[B9111,B7904]
40:139-93-[B6497,B5775,B3995]
41:84-38-[B5717]
42:136-65-[B1416,B4320]
43:77-35-[B5725]
44:115-75-[B2674,B8742,B4831]
45:109-73-[B4687,B6232]
46:121-89-[B7533,B0833,B7691,B9078]
47:80-44-[B0268]
48:131-70-[B8614,B0622]
49:137-62-[B1533,B3918]
50:133-70-[B3415,B1156]
